fischietto simbolo di matera;Basilicata, cuccù
si lancia nel vuoto con un elastico ai piedi;Sport estremo, il bungee jumping
piatto tipico emiliano dalla sfoglia sottilissima;Cucina, le tagliatelle
si indossa solo una volta nella vita;L'abito da sposa
il campione che ha vinto tutto con la nazionale;Calcio, Paolo Maldini
dolce torinese inventato da un pasticcere per caso;Il gianduiotto
si gioca su ghiaccio con bastoni e un disco;Nell'hockey su ghiaccio
la città che non dorme mai secondo sinatra;New York
vino siciliano dal colore intenso e corposo;Sicilia, il nero d'avola
l'attore che ha fatto ridere generazioni di italiani;Alberto Sordi
formaggio stagionato simbolo della padania;Il grana padano
la maschera più famosa del carnevale veneziano;Venezia, Arlecchino
si costruisce ogni anno e poi si brucia in piazza;Tradizione, il falò
trio comico che ha fatto ridere l'italia intera;Trio comico italiano
pallacanestro giocata su sedia a rotelle;Sport paralimpico
il frutto proibito che tentò adamo ed eva;Bibbia, la mela
corsa podistica più antica e famosa del mondo;La maratona
si canta tutti insieme allo stadio prima del match;Inno nazionale
il cappello a tesa larga simbolo del cowboy;Far west, lo stetson
liquore giallo tipico delle valli alpine italiane;Trentino, il genepy
la città costruita sull'acqua che sprofonda piano;Venezia
sinfonia più famosa scritta da un sordo;Beethoven, la nona
il conduttore che ha fatto la storia di canale 5;Mike Bongiorno
si mangia rigorosamente con le mani a napoli;La pizza fritta
nuota controcorrente per andare a deporre le uova;Animali, il salmone
il pasto più romantico è a lume di candela;Cena speciale
antico gioco romano ancora praticato in italia;La morra
perde le foglie ogni anno e le fa ricrescere;Alberi, il deciduo
il più famoso triangolo della storia della musica;Musica, il riff di smoke on the water
si tifa tutti insieme con la sciarpa al collo;Allo stadio
bevanda fermentata a base di the e batteri buoni;Il kombucha
il gelataio più famoso d'italia ha aperto a tokyo;Curiosità, il gelato
sport dove si corre su tavola con le onde;Nel surf
il ponte più fotografato di firenze sul lungarno;Firenze, il ponte vecchio
si indossa al contrario per non farsi riconoscere;Il cappello in testa
chi ha inventato il telefono è ancora in discussione;Curiosità, meucci o bell
la notte più corta dell'anno si festeggia al mare;San Giovanni, il solstizio
dolce fritto tipico del carnevale romano;Roma, le frappe
il personaggio dei fumetti più ristampato al mondo;Topolino
si gioca su tavola con pedine bianche e nere;La dama
l'unico mammifero capace di vero volo;Animali, il pipistrello
pane tipico sardo croccante come un foglio;Sardegna, il carasau
la bandiera tricolore esposta ai mondiali;Italia, il tricolore
il lago più grande d'italia tra lombardia e veneto;Il lago di garda
il giorno in cui si mangia lenticchie per fortuna;Capodanno
il compositore che scrisse quattro stagioni;Antonio Vivaldi
si salta con un'asta per superare un'asticella;Nell'atletica, il salto con l'asta
formaggio fresco campano dal cuore filante;Campania, la scamorza
si naviga sul nilo su una barca a vela tradizionale;Egitto, la feluca
il piatto povero che è diventato simbolo di roma;Roma, la cacio e pepe
vive fino a duecento anni ed è il più lento;Animali, la tartaruga
milioni di italiani lo accendono ogni mattina;La radio
il mare più salato al mondo non fa affogare;Il mar morto
si sfida a colpi di rima improvvisata sul palco;Musica, il freestyle rap
pesca tipica invernale sul ghiaccio con il foro;Pesca sul ghiaccio
il borgo medievale più bello d'italia;I borghi italiani
si rompe sempre quando si ha più fretta;Il tacco della scarpa
il nodo che ogni papà impara a fare col cravattino;La cravatta
pianta carnivora che intrappola gli insetti;Botanica, la drosera
si brucia tutto per far posto a nuova vegetazione;Natura, l'incendio boschivo
compose la nona sinfonia senza sentirla mai;Beethoven
perde il pelo ma non il vizio dice il proverbio;Modi di dire, il lupo
si gioca su erba con mazze e palline colorate;Nel croquet
la bevanda più consumata al mondo dopo l'acqua;Il tè
si costruisce con carte da gioco sovrapposte piano;Il castello di carte
il giro più famoso del mondo in ottanta giorni;Jules Verne
formaggio erborinato simbolo della lombardia;Il gorgonzola
si porta al collo come amuleto contro il malocchio;Scaramanzia, il corno
il porto più trafficato del mediterraneo;Il porto di genova
vino spumante italiano che batte lo champagne;Il prosecco
si fa con le mani in pasta ogni domenica mattina;La sfoglia fatta in casa
l'unico sport che si pratica sulla luna;Curiosità, il golf
si porta il numero diciassette e porta sfortuna;Scaramanzia italiana
il museo più visitato del mondo è a parigi;Il Louvre
erba aromatica che cresce ovunque sul balcone;Il basilico
si nuota con le pinne e la maschera sul fondale;Lo snorkeling
il mercato più antico di palermo tra odori e colori;Palermo, la vucciria
si suona battendo le bacchette su una membrana;Strumenti, la batteria
la corsa ciclistica più dura del mondo sulle alpi;Il tour de france
si porta in tasca e porta fortuna al primo lunedì;Scaramanzia, le fave
dolce piemontese a forma di nocciola ricoperto;Il bacio perugina
si scia fuori pista tra la neve fresca e profonda;Lo sci freeride
il mare del nord è spesso grigio e tempestoso;Il mare del nord
antico strumento egizio ancora usato nei concerti;Strumenti, l'arpa
si prepara la sera prima per portarlo al lavoro;Il pranzo al sacco
il palazzo più grande del mondo è in vaticano;Curiosità, il vaticano
la maschera di carnevale più antica di venezia;Venezia, la bauta
si mangia il giorno dopo ed è ancora più buona;La pizza avanzata
primo calciatore italiano a vincere il pallone d'oro;Calcio, omar sivori
si costruisce in legno e si manda in acqua piano;Il modellismo navale
mercato delle pulci con tesori nascosti;Il mercato dell'antiquariato
bevanda amarissima che sveglia meglio del caffè;Il matè
si porta a teatro e si indossa solo in quella sera;Lo smoking
il grillo che canta di notte nelle campagne estive;Estate in campagna
la sagra più attesa dell'estate in ogni paese;Le sagre di paese
si mangia a capodanno per avere i soldi tutto l'anno;Tradizione, le lenticchie
il deserto più grande del mondo non è di sabbia;Curiosità, l'antartide
si gioca con una trottola colorata sul pavimento;Giochi di una volta
la partita che si vince senza giocare per forfait;Nel calcio, il tre a zero
dolce pugliese alle mandorle tipico del natale;Puglia, i cartellate
la notte bianca in cui i negozi restano aperti;La notte bianca
si porta il nero al funerale in occidente;Tradizione del lutto
il simbolo della pace disegnato da un bambino;La colomba della pace
si fa tardi la sera prima degli esami per studiare;Vita da studente
il profumo di erba bagnata dopo il temporale;Sensazioni, il petricor
si sale in cima e si suona la campana per tradizione;Tradizione alpina
la corsa dei sacchi è il gioco più amato alle sagre;Giochi popolari
si porta il mazzo di fiori alla prima della scala;Milano, la prima della scala
la più antica università del mondo è a bologna;Curiosità, l'università
si taglia il nastro per inaugurare qualcosa di nuovo;L'inaugurazione
si affetta sottile e si mangia con il melone;Il prosciutto crudo
dolce calabrese al miele tipico delle feste;Calabria, i turdilli
il campanile che si sente da chilometri di distanza;Tradizione, le campane
si gioca a fare finta di essere qualcun altro;Giochi da bambini
la lingua più studiata al mondo dopo l'inglese;Curiosità, lo spagnolo
si porta il casco e si pedala sulle montagne;Il ciclismo in montagna
il piatto che scalda il cuore nelle sere d'inverno;La minestra calda
si suona con le labbra su un'ancia di canna;Strumenti, il clarinetto
la regione italiana con più dialetti diversi;Curiosità, la Lombardia
si porta il pane a tavola e non si butta mai;Tradizione italiana, il pane
